index,day_deliver_coupon_num,coupon_discount,day_order_num,day_average_order_fee,step,date
0,0,0.95,0,0,56,2021/5/14
0,2,0.6,1,27.25801468,57,2021/5/15
0,2,0.6,1,25.88395178,58,2021/5/16
0,0,0.95,0,0,59,2021/5/17
1,0,0.6,0,0,0,2021/3/19
1,2,0.85,0,0,1,2021/3/20
1,0,0.6,0,0,2,2021/3/21
1,3,0.85,0,0,3,2021/3/22
1,0,0.6,0,0,4,2021/3/23
1,0,0.6,0,0,5,2021/3/24
1,0,0.6,0,0,6,2021/3/25
1,0,0.6,0,0,7,2021/3/26
1,2,0.65,1,2.297322273,8,2021/3/27
1,0,0.6,0,0,9,2021/3/28
1,0,0.6,0,0,10,2021/3/29
1,2,0.65,1,1.639680684,11,2021/3/30
1,0,0.6,0,0,12,2021/3/31
1,0,0.6,0,0,13,2021/4/1
1,0,0.6,0,0,14,2021/4/2
1,0,0.6,0,0,15,2021/4/3
1,0,0.95,0,0,16,2021/4/4
1,0,0.95,0,0,17,2021/4/5
1,0,0.95,0,0,18,2021/4/6
1,1,0.7,1,0.817130238,19,2021/4/7
1,1,0.7,0,0,20,2021/4/8
1,0,0.95,0,0,21,2021/4/9
1,0,0.95,0,0,22,2021/4/10
1,0,0.95,0,0,23,2021/4/11
1,0,0.95,0,0,24,2021/4/12
1,0,0.95,0,0,25,2021/4/13
1,0,0.95,0,0,26,2021/4/14
1,0,0.95,0,0,27,2021/4/15
1,0,0.95,0,0,28,2021/4/16
1,0,0.95,0,0,29,2021/4/17
1,0,0.95,0,0,30,2021/4/18
1,1,0.9,0,0,31,2021/4/19
1,0,0.95,0,0,32,2021/4/20
1,0,0.95,0,0,33,2021/4/21
1,1,0.9,0,0,34,2021/4/22
1,0,0.95,0,0,35,2021/4/23
1,0,0.95,0,0,36,2021/4/24
1,1,0.9,0,0,37,2021/4/25
1,0,0.95,0,0,38,2021/4/26
1,0,0.95,0,0,39,2021/4/27
1,1,0.9,0,0,40,2021/4/28
1,1,0.9,0,0,41,2021/4/29
1,0,0.95,0,0,42,2021/4/30
1,0,0.95,0,0,43,2021/5/1
1,1,0.9,0,0,44,2021/5/2
1,0,0.95,0,0,45,2021/5/3
1,1,0.9,0,0,46,2021/5/4
1,0,0.95,0,0,47,2021/5/5
1,1,0.9,0,0,48,2021/5/6
1,1,0.9,0,0,49,2021/5/7
1,0,0.95,0,0,50,2021/5/8
1,0,0.95,0,0,51,2021/5/9
1,0,0.95,0,0,52,2021/5/10
1,0,0.95,0,0,53,2021/5/11
1,0,0.95,0,0,54,2021/5/12
1,0,0.95,0,0,55,2021/5/13
1,0,0.95,0,0,56,2021/5/14
1,0,0.95,0,0,57,2021/5/15
1,1,0.9,0,0,58,2021/5/16
1,0,0.95,0,0,59,2021/5/17
2,0,0.6,0,0,0,2021/3/19
2,2,0.65,2,26.71528172,1,2021/3/20
2,0,0.6,0,0,2,2021/3/21
2,2,0.65,2,22.7059509,3,2021/3/22
2,0,0.6,0,0,4,2021/3/23
2,0,0.6,1,23.47547561,5,2021/3/24
2,0,0.6,1,23.38119596,6,2021/3/25
2,0,0.6,2,22.88967222,7,2021/3/26
2,2,0.65,1,23.15785402,8,2021/3/27
2,0,0.6,1,22.98226058,9,2021/3/28
2,0,0.6,0,0,10,2021/3/29
2,2,0.65,1,22.48618454,11,2021/3/30
2,0,0.6,0,0,12,2021/3/31
2,0,0.6,0,0,13,2021/4/1
2,0,0.6,2,22.77918011,14,2021/4/2
2,0,0.6,0,0,15,2021/4/3
2,0,0.95,0,0,16,2021/4/4
2,2,0.95,1,22.6996392,17,2021/4/5
2,0,0.95,1,22.59802669,18,2021/4/6
2,2,0.85,1,22.21886516,19,2021/4/7
2,0,0.95,1,22.12211341,20,2021/4/8
2,0,0.95,2,22.00716436,21,2021/4/9
2,2,0.8,1,22.29000479,22,2021/4/10
2,0,0.95,0,0,23,2021/4/11
2,0,0.95,0,0,24,2021/4/12
2,2,0.6,2,21.62793726,25,2021/4/13
2,0,0.95,1,22.23368436,26,2021/4/14
2,0,0.95,1,22.08263725,27,2021/4/15
2,0,0.95,1,21.8420431,28,2021/4/16
2,0,0.95,0,0,29,2021/4/17
2,0,0.95,0,0,30,2021/4/18
2,2,0.6,2,21.97684646,31,2021/4/19
2,0,0.95,1,21.4643985,32,2021/4/20
2,0,0.95,1,21.41835988,33,2021/4/21
2,0,0.95,0,0,34,2021/4/22
2,2,0.6,1,21.87897265,35,2021/4/23
2,0,0.95,0,0,36,2021/4/24
2,0,0.95,1,21.55467719,37,2021/4/25
2,0,0.95,1,21.71427459,38,2021/4/26
2,0,0.95,0,0,39,2021/4/27
2,0,0.95,1,21.0658595,40,2021/4/28
2,0,0.95,1,21.70908898,41,2021/4/29
2,0,0.95,1,21.36353254,42,2021/4/30
2,2,0.6,2,20.99702358,43,2021/5/1
2,0,0.95,1,20.95125616,44,2021/5/2
2,0,0.95,0,0,45,2021/5/3
2,0,0.95,1,20.84389329,46,2021/5/4
2,0,0.95,0,0,47,2021/5/5
2,0,0.95,1,20.83323151,48,2021/5/6
2,2,0.6,1,20.74447572,49,2021/5/7
2,0,0.95,1,20.7061395,50,2021/5/8
2,0,0.95,0,0,51,2021/5/9
2,0,0.95,1,21.00111842,52,2021/5/10
2,2,0.6,1,20.93573511,53,2021/5/11
2,0,0.95,1,20.56706846,54,2021/5/12
2,0,0.95,1,20.50856203,55,2021/5/13
2,0,0.95,1,21.03570402,56,2021/5/14
2,0,0.95,0,0,57,2021/5/15
2,2,0.6,1,23.91929888,58,2021/5/16
2,0,0.95,2,20.78775764,59,2021/5/17
3,0,0.6,1,61.33734679,0,2021/3/19
3,4,0.65,2,59.5966149,1,2021/3/20
3,0,0.6,0,0,2,2021/3/21
3,2,0.65,1,60.33838959,3,2021/3/22
3,0,0.6,0,0,4,2021/3/23
3,0,0.6,1,43.91591549,5,2021/3/24
3,0,0.6,0,0,6,2021/3/25
3,0,0.6,1,42.99839139,7,2021/3/26
3,3,0.65,1,57.17428803,8,2021/3/27
3,0,0.6,0,0,9,2021/3/28
3,0,0.6,1,56.91433168,10,2021/3/29
3,3,0.65,1,42.24907458,11,2021/3/30
3,0,0.6,1,41.33145809,12,2021/3/31
3,0,0.6,0,0,13,2021/4/1
3,0,0.6,1,40.92746675,14,2021/4/2
3,0,0.6,1,43.73075366,15,2021/4/3
3,0,0.95,0,0,16,2021/4/4
3,2,0.85,1,39.65389132,17,2021/4/5
3,0,0.95,1,38.67180943,18,2021/4/6
3,0,0.95,1,42.40309596,19,2021/4/7
3,0,0.95,1,42.11913943,20,2021/4/8
3,0,0.95,1,37.32634485,21,2021/4/9
3,0,0.95,0,0,22,2021/4/10
3,2,0.85,1,38.35846782,23,2021/4/11
3,2,0.75,1,41.11692011,24,2021/4/12
3,0,0.95,1,38.05125654,25,2021/4/13
3,2,0.95,1,37.45627105,26,2021/4/14
3,0,0.95,1,35.16540229,27,2021/4/15
3,2,0.95,1,39.82376754,28,2021/4/16
3,0,0.95,1,39.54509795,29,2021/4/17
3,0,0.95,0,0,30,2021/4/18
3,0,0.95,0,0,31,2021/4/19
3,0,0.95,1,37.29347587,32,2021/4/20
3,0,0.95,1,34.83990133,33,2021/4/21
3,0,0.95,1,33.73547494,34,2021/4/22
3,0,0.95,1,38.11394572,35,2021/4/23
3,0,0.95,1,37.85623014,36,2021/4/24
3,0,0.95,0,0,37,2021/4/25
3,0,0.95,0,0,38,2021/4/26
3,0,0.95,1,33.00031722,39,2021/4/27
3,0,0.95,0,0,40,2021/4/28
3,0,0.95,1,33.30137432,41,2021/4/29
3,0,0.95,1,36.31626368,42,2021/4/30
3,0,0.95,1,33.29777122,43,2021/5/1
3,0,0.95,0,0,44,2021/5/2
3,0,0.95,0,0,45,2021/5/3
3,2,0.6,1,36.04094684,46,2021/5/4
3,0,0.95,1,35.94815433,47,2021/5/5
3,0,0.95,0,0,48,2021/5/6
3,0,0.95,2,31.74601495,49,2021/5/7
3,0,0.95,0,0,50,2021/5/8
3,0,0.95,0,0,51,2021/5/9
3,0,0.95,0,0,52,2021/5/10
3,0,0.95,1,35.23241282,53,2021/5/11
3,0,0.95,1,32.13782907,54,2021/5/12
3,0,0.95,0,0,55,2021/5/13
3,2,0.6,1,34.62864161,56,2021/5/14
3,0,0.95,0,0,57,2021/5/15
3,0,0.95,0,0,58,2021/5/16
3,0,0.95,1,41.53195527,59,2021/5/17
4,0,0.6,0,0,0,2021/3/19
4,2,0.65,1,23.1821992,1,2021/3/20
4,0,0.6,0,0,2,2021/3/21
4,2,0.65,1,24.08681271,3,2021/3/22
4,0,0.6,0,0,4,2021/3/23
4,0,0.6,0,0,5,2021/3/24
4,0,0.6,0,0,6,2021/3/25
4,0,0.6,0,0,7,2021/3/26
4,2,0.65,2,22.83010877,8,2021/3/27
4,0,0.6,0,0,9,2021/3/28
4,0,0.6,0,0,10,2021/3/29
4,2,0.65,1,20.21341772,11,2021/3/30
4,0,0.6,0,0,12,2021/3/31
4,0,0.6,0,0,13,2021/4/1
4,0,0.6,0,0,14,2021/4/2
4,0,0.6,0,0,15,2021/4/3
4,2,0.7,1,24.37356949,16,2021/4/4
4,2,0.95,0,0,17,2021/4/5
4,0,0.95,0,0,18,2021/4/6
4,0,0.95,0,0,19,2021/4/7
4,0,0.95,0,0,20,2021/4/8
4,0,0.95,0,0,21,2021/4/9
4,0,0.95,0,0,22,2021/4/10
4,0,0.95,0,0,23,2021/4/11
4,0,0.95,0,0,24,2021/4/12
4,0,0.95,0,0,25,2021/4/13
4,0,0.95,0,0,26,2021/4/14
4,0,0.95,0,0,27,2021/4/15
4,0,0.95,0,0,28,2021/4/16
4,0,0.95,0,0,29,2021/4/17
4,0,0.95,0,0,30,2021/4/18
4,0,0.95,0,0,31,2021/4/19
4,0,0.95,0,0,32,2021/4/20
4,0,0.95,0,0,33,2021/4/21
4,0,0.95,0,0,34,2021/4/22
4,2,0.8,0,0,35,2021/4/23
4,0,0.95,0,0,36,2021/4/24
4,0,0.95,0,0,37,2021/4/25
4,0,0.95,0,0,38,2021/4/26
4,0,0.95,0,0,39,2021/4/27
4,0,0.95,0,0,40,2021/4/28
4,0,0.95,0,0,41,2021/4/29
4,0,0.95,0,0,42,2021/4/30
4,0,0.95,0,0,43,2021/5/1
4,0,0.95,0,0,44,2021/5/2
4,0,0.95,0,0,45,2021/5/3
4,0,0.95,0,0,46,2021/5/4
4,0,0.95,0,0,47,2021/5/5
4,0,0.95,0,0,48,2021/5/6
4,2,0.8,0,0,49,2021/5/7
4,0,0.95,0,0,50,2021/5/8
4,0,0.95,0,0,51,2021/5/9
4,0,0.95,0,0,52,2021/5/10
4,2,0.85,0,0,53,2021/5/11
4,2,0.85,0,0,54,2021/5/12
4,0,0.95,0,0,55,2021/5/13
4,0,0.95,0,0,56,2021/5/14
4,0,0.95,0,0,57,2021/5/15
4,0,0.95,0,0,58,2021/5/16
4,0,0.95,0,0,59,2021/5/17
5,0,0.6,0,0,0,2021/3/19
5,2,0.65,1,11.54686564,1,2021/3/20
5,0,0.6,0,0,2,2021/3/21
5,2,0.65,1,11.52075181,3,2021/3/22
5,0,0.6,0,0,4,2021/3/23
5,0,0.6,0,0,5,2021/3/24
5,0,0.6,0,0,6,2021/3/25
5,0,0.6,0,0,7,2021/3/26
5,2,0.65,2,11.46604321,8,2021/3/27
5,0,0.6,0,0,9,2021/3/28
5,0,0.6,0,0,10,2021/3/29
5,2,0.65,2,14.59398568,11,2021/3/30
5,0,0.6,0,0,12,2021/3/31
5,0,0.6,0,0,13,2021/4/1
5,0,0.6,0,0,14,2021/4/2
5,0,0.6,0,0,15,2021/4/3
5,2,0.75,1,12.06036064,16,2021/4/4
5,0,0.95,0,0,17,2021/4/5
5,0,0.95,0,0,18,2021/4/6
5,2,0.75,1,14.06545043,19,2021/4/7
5,0,0.95,0,0,20,2021/4/8
5,0,0.95,0,0,21,2021/4/9
5,0,0.95,0,0,22,2021/4/10
5,0,0.95,0,0,23,2021/4/11
5,0,0.95,0,0,24,2021/4/12
5,0,0.95,0,0,25,2021/4/13
5,0,0.95,0,0,26,2021/4/14
5,0,0.95,0,0,27,2021/4/15
5,2,0.95,0,0,28,2021/4/16
5,0,0.95,0,0,29,2021/4/17
5,0,0.95,0,0,30,2021/4/18
5,0,0.95,0,0,31,2021/4/19
5,0,0.95,0,0,32,2021/4/20
5,2,0.8,0,0,33,2021/4/21
5,0,0.95,0,0,34,2021/4/22
5,0,0.95,0,0,35,2021/4/23
5,0,0.95,0,0,36,2021/4/24
5,0,0.95,0,0,37,2021/4/25
5,2,0.8,0,0,38,2021/4/26
5,0,0.95,0,0,39,2021/4/27
5,0,0.95,0,0,40,2021/4/28
5,0,0.95,0,0,41,2021/4/29
5,0,0.95,0,0,42,2021/4/30
5,0,0.95,0,0,43,2021/5/1
5,0,0.95,0,0,44,2021/5/2
5,0,0.95,0,0,45,2021/5/3
5,2,0.85,1,10.64055983,46,2021/5/4
5,0,0.95,0,0,47,2021/5/5
5,0,0.95,0,0,48,2021/5/6
5,0,0.95,0,0,49,2021/5/7
5,0,0.95,0,0,50,2021/5/8
5,0,0.95,0,0,51,2021/5/9
5,2,0.8,1,9.791863098,52,2021/5/10
5,0,0.95,0,0,53,2021/5/11
5,0,0.95,0,0,54,2021/5/12
5,0,0.95,0,0,55,2021/5/13
5,0,0.95,0,0,56,2021/5/14
5,0,0.95,0,0,57,2021/5/15
5,0,0.95,0,0,58,2021/5/16
5,0,0.95,0,0,59,2021/5/17
6,0,0.6,0,0,0,2021/3/19
6,2,0.65,1,20.15626866,1,2021/3/20
6,0,0.6,0,0,2,2021/3/21
6,2,0.65,2,18.6839011,3,2021/3/22
6,0,0.6,0,0,4,2021/3/23
6,0,0.6,0,0,5,2021/3/24
6,0,0.6,0,0,6,2021/3/25
6,0,0.6,0,0,7,2021/3/26
6,2,0.65,2,20.66862721,8,2021/3/27
6,0,0.6,0,0,9,2021/3/28
6,0,0.6,0,0,10,2021/3/29
6,2,0.65,2,18.01908643,11,2021/3/30
6,0,0.6,0,0,12,2021/3/31
6,0,0.6,0,0,13,2021/4/1
6,0,0.6,0,0,14,2021/4/2
6,0,0.6,0,0,15,2021/4/3
6,0,0.95,0,0,16,2021/4/4
6,0,0.95,0,0,17,2021/4/5
6,0,0.95,0,0,18,2021/4/6
6,0,0.95,0,0,19,2021/4/7
6,0,0.95,0,0,20,2021/4/8
6,0,0.95,0,0,21,2021/4/9
6,0,0.95,0,0,22,2021/4/10
6,2,0.95,0,0,23,2021/4/11
6,0,0.95,0,0,24,2021/4/12
6,0,0.95,0,0,25,2021/4/13
6,0,0.95,0,0,26,2021/4/14
6,2,0.7,1,20.19339802,27,2021/4/15
6,0,0.95,0,0,28,2021/4/16
6,0,0.95,0,0,29,2021/4/17
6,0,0.95,0,0,30,2021/4/18
6,0,0.95,0,0,31,2021/4/19
6,2,0.8,1,19.52225687,32,2021/4/20
6,0,0.95,0,0,33,2021/4/21
6,2,0.8,1,18.64454401,34,2021/4/22
6,0,0.95,0,0,35,2021/4/23
6,0,0.95,0,0,36,2021/4/24
6,0,0.95,0,0,37,2021/4/25
6,0,0.95,0,0,38,2021/4/26
6,2,0.8,1,19.90399853,39,2021/4/27
6,0,0.95,0,0,40,2021/4/28
6,0,0.95,0,0,41,2021/4/29
6,0,0.95,0,0,42,2021/4/30
6,0,0.95,0,0,43,2021/5/1
6,0,0.95,0,0,44,2021/5/2
6,0,0.95,0,0,45,2021/5/3
6,0,0.95,0,0,46,2021/5/4
6,0,0.95,0,0,47,2021/5/5
6,0,0.95,0,0,48,2021/5/6
6,0,0.95,0,0,49,2021/5/7
6,0,0.95,0,0,50,2021/5/8
6,0,0.95,0,0,51,2021/5/9
6,0,0.95,0,0,52,2021/5/10
6,2,0.8,1,18.94842264,53,2021/5/11
6,2,0.8,1,20.19343674,54,2021/5/12
6,0,0.95,0,0,55,2021/5/13
6,0,0.95,0,0,56,2021/5/14
6,0,0.95,0,0,57,2021/5/15
6,0,0.95,0,0,58,2021/5/16
6,2,0.75,1,22.32889083,59,2021/5/17
7,0,0.6,0,0,0,2021/3/19
7,5,0.75,0,0,1,2021/3/20
7,0,0.6,0,0,2,2021/3/21
7,4,0.7,0,0,3,2021/3/22
7,0,0.6,0,0,4,2021/3/23
7,0,0.6,0,0,5,2021/3/24
7,0,0.6,0,0,6,2021/3/25
7,0,0.6,0,0,7,2021/3/26
7,5,0.75,0,0,8,2021/3/27
7,0,0.6,0,0,9,2021/3/28
7,0,0.6,0,0,10,2021/3/29
7,4,0.7,1,1.573351622,11,2021/3/30
7,0,0.6,0,0,12,2021/3/31
7,0,0.6,0,0,13,2021/4/1
7,0,0.6,0,0,14,2021/4/2
7,0,0.6,0,0,15,2021/4/3
7,1,0.6,1,1.054256439,16,2021/4/4
7,0,0.95,0,0,17,2021/4/5
7,0,0.95,0,0,18,2021/4/6
7,0,0.95,0,0,19,2021/4/7
7,1,0.9,0,0,20,2021/4/8
7,0,0.95,0,0,21,2021/4/9
7,1,0.65,1,3.510850549,22,2021/4/10
7,0,0.95,0,0,23,2021/4/11
7,0,0.95,0,0,24,2021/4/12
7,0,0.95,0,0,25,2021/4/13
7,1,0.65,0,0,26,2021/4/14
7,1,0.65,2,2.542668263,27,2021/4/15
7,2,0.8,0,0,28,2021/4/16
7,2,0.7,1,2.888279388,29,2021/4/17
7,2,0.7,2,0.888351772,30,2021/4/18
7,0,0.95,0,0,31,2021/4/19
7,0,0.95,0,0,32,2021/4/20
7,0,0.95,0,0,33,2021/4/21
7,0,0.95,0,0,34,2021/4/22
7,0,0.95,0,0,35,2021/4/23
7,0,0.95,0,0,36,2021/4/24
7,0,0.95,0,0,37,2021/4/25
7,0,0.95,0,0,38,2021/4/26
7,0,0.95,0,0,39,2021/4/27
7,0,0.95,0,0,40,2021/4/28
7,0,0.95,0,0,41,2021/4/29
7,0,0.95,0,0,42,2021/4/30
7,0,0.95,0,0,43,2021/5/1
7,0,0.95,0,0,44,2021/5/2
7,2,0.9,0,0,45,2021/5/3
7,0,0.95,0,0,46,2021/5/4
7,2,0.9,0,0,47,2021/5/5
7,0,0.95,0,0,48,2021/5/6
7,0,0.95,0,0,49,2021/5/7
7,0,0.95,0,0,50,2021/5/8
7,0,0.95,0,0,51,2021/5/9
7,0,0.95,0,0,52,2021/5/10
7,0,0.95,0,0,53,2021/5/11
7,0,0.95,0,0,54,2021/5/12
7,2,0.9,0,0,55,2021/5/13
7,0,0.95,0,0,56,2021/5/14
7,0,0.95,0,0,57,2021/5/15
7,0,0.95,0,0,58,2021/5/16
7,0,0.95,0,0,59,2021/5/17
8,0,0.6,0,0,0,2021/3/19
8,2,0.65,2,10.96190819,1,2021/3/20
8,0,0.6,0,0,2,2021/3/21
8,2,0.65,2,12.07471302,3,2021/3/22
8,0,0.6,0,0,4,2021/3/23
8,0,0.6,0,0,5,2021/3/24
8,0,0.6,0,0,6,2021/3/25
8,0,0.6,0,0,7,2021/3/26
8,2,0.65,2,8.838425666,8,2021/3/27
8,0,0.6,0,0,9,2021/3/28
8,0,0.6,0,0,10,2021/3/29
8,2,0.65,1,10.91204679,11,2021/3/30
8,0,0.6,0,0,12,2021/3/31
8,0,0.6,0,0,13,2021/4/1
8,0,0.6,0,0,14,2021/4/2
8,0,0.6,0,0,15,2021/4/3
8,0,0.95,0,0,16,2021/4/4
8,0,0.95,0,0,17,2021/4/5
8,0,0.95,0,0,18,2021/4/6
8,2,0.7,2,12.2009968,19,2021/4/7
8,2,0.9,0,0,20,2021/4/8
8,0,0.95,0,0,21,2021/4/9
8,2,0.85,0,0,22,2021/4/10
8,2,0.9,1,11.62064236,23,2021/4/11
8,0,0.95,0,0,24,2021/4/12
8,0,0.95,0,0,25,2021/4/13
8,0,0.95,0,0,26,2021/4/14
8,2,0.85,1,9.633140401,27,2021/4/15
8,2,0.9,1,11.03475779,28,2021/4/16
8,0,0.95,0,0,29,2021/4/17
8,0,0.95,0,0,30,2021/4/18
8,0,0.95,1,11.19483254,31,2021/4/19
8,0,0.95,0,0,32,2021/4/20
8,0,0.95,1,15.12876451,33,2021/4/21
8,0,0.95,1,14.89542723,34,2021/4/22
8,0,0.95,0,0,35,2021/4/23
8,2,0.8,1,14.19062912,36,2021/4/24
8,0,0.95,0,0,37,2021/4/25
8,0,0.95,0,0,38,2021/4/26
8,0,0.95,0,0,39,2021/4/27
8,0,0.95,1,14.24523145,40,2021/4/28
8,0,0.95,1,14.29315209,41,2021/4/29
8,0,0.95,1,14.85023648,42,2021/4/30
8,2,0.75,1,14.66694772,43,2021/5/1
8,0,0.95,0,0,44,2021/5/2
8,0,0.95,0,0,45,2021/5/3
8,0,0.95,0,0,46,2021/5/4
8,0,0.95,1,14.44398314,47,2021/5/5
8,0,0.95,0,0,48,2021/5/6
8,0,0.95,1,14.92792368,49,2021/5/7
8,0,0.95,1,14.78518546,50,2021/5/8
8,0,0.95,0,0,51,2021/5/9
8,0,0.95,0,0,52,2021/5/10
8,0,0.95,0,0,53,2021/5/11
8,0,0.95,0,0,54,2021/5/12
8,0,0.95,1,14.4873023,55,2021/5/13
8,0,0.95,1,14.8250252,56,2021/5/14
8,0,0.95,0,0,57,2021/5/15
8,0,0.95,1,14.84065056,58,2021/5/16
8,0,0.95,1,12.87280567,59,2021/5/17
9,0,0.6,0,0,0,2021/3/19
9,2,0.65,1,48.21281195,1,2021/3/20
9,0,0.6,0,0,2,2021/3/21
9,2,0.65,1,48.14216367,3,2021/3/22
9,0,0.6,0,0,4,2021/3/23
9,0,0.6,0,0,5,2021/3/24
9,0,0.6,0,0,6,2021/3/25
9,0,0.6,0,0,7,2021/3/26
9,2,0.65,2,46.10556077,8,2021/3/27
9,0,0.6,0,0,9,2021/3/28
9,0,0.6,0,0,10,2021/3/29
9,2,0.65,1,46.46012663,11,2021/3/30
9,0,0.6,1,40.21039009,12,2021/3/31
9,0,0.6,0,0,13,2021/4/1
9,0,0.6,2,40.00014067,14,2021/4/2
9,0,0.6,0,0,15,2021/4/3
9,0,0.95,0,0,16,2021/4/4
9,0,0.95,1,45.7352786,17,2021/4/5
9,0,0.95,1,42.74774194,18,2021/4/6
9,0,0.95,1,40.4720664,19,2021/4/7
9,2,0.7,1,40.24269283,20,2021/4/8
9,0,0.95,2,39.54119682,21,2021/4/9
9,0,0.95,0,0,22,2021/4/10
9,0,0.95,1,42.15438664,23,2021/4/11
9,2,0.85,1,39.70145583,24,2021/4/12
9,2,0.95,1,39.2291218,25,2021/4/13
9,0,0.95,0,0,26,2021/4/14
9,0,0.95,1,37.97335923,27,2021/4/15
9,2,0.85,2,39.00929093,28,2021/4/16
9,0,0.95,0,0,29,2021/4/17
9,0,0.95,1,37.6878202,30,2021/4/18
9,0,0.95,1,41.10379815,31,2021/4/19
9,0,0.95,1,38.78121674,32,2021/4/20
9,0,0.95,1,38.69126439,33,2021/4/21
9,0,0.95,1,37.43028641,34,2021/4/22
9,2,0.6,2,40.75971246,35,2021/4/23
9,0,0.95,1,40.71967304,36,2021/4/24
9,0,0.95,1,40.6695962,37,2021/4/25
9,0,0.95,1,38.35492134,38,2021/4/26
9,0,0.95,0,0,39,2021/4/27
9,2,0.6,1,38.29783797,40,2021/4/28
9,0,0.95,1,38.1696552,41,2021/4/29
9,2,0.6,1,38.10979724,42,2021/4/30
9,0,0.95,1,36.94776893,43,2021/5/1
9,0,0.95,0,0,44,2021/5/2
9,2,0.6,2,36.90642118,45,2021/5/3
9,0,0.95,1,36.83104515,46,2021/5/4
9,0,0.95,1,37.67583072,47,2021/5/5
9,0,0.95,1,37.56631613,48,2021/5/6
9,0,0.95,1,37.61876225,49,2021/5/7
9,0,0.95,1,36.62962615,50,2021/5/8
9,0,0.95,1,37.45827675,51,2021/5/9
9,0,0.95,1,36.53118908,52,2021/5/10
9,0,0.95,0,0,53,2021/5/11
9,2,0.6,2,37.25759089,54,2021/5/12
9,0,0.95,1,37.19100952,55,2021/5/13
9,0,0.95,1,37.22702265,56,2021/5/14
9,0,0.95,1,37.19602525,57,2021/5/15
9,0,0.95,0,0,58,2021/5/16
9,0,0.95,0,0,59,2021/5/17
10,0,0.6,0,0,0,2021/3/19
10,2,0.65,0,0,1,2021/3/20
10,0,0.6,0,0,2,2021/3/21
10,2,0.65,1,0.440440178,3,2021/3/22
10,0,0.6,0,0,4,2021/3/23
10,0,0.6,0,0,5,2021/3/24
10,0,0.6,0,0,6,2021/3/25
10,0,0.6,0,0,7,2021/3/26
10,2,0.65,0,0,8,2021/3/27
10,0,0.6,0,0,9,2021/3/28
10,0,0.6,0,0,10,2021/3/29
10,2,0.65,0,0,11,2021/3/30
10,0,0.6,0,0,12,2021/3/31
10,0,0.6,0,0,13,2021/4/1
10,0,0.6,0,0,14,2021/4/2
10,0,0.6,0,0,15,2021/4/3
10,1,0.9,0,0,16,2021/4/4
10,1,0.9,0,0,17,2021/4/5
10,1,0.9,0,0,18,2021/4/6
10,0,0.95,0,0,19,2021/4/7
10,0,0.95,0,0,20,2021/4/8
10,1,0.8,0,0,21,2021/4/9
10,0,0.95,0,0,22,2021/4/10
10,0,0.95,0,0,23,2021/4/11
10,0,0.95,0,0,24,2021/4/12
10,0,0.95,0,0,25,2021/4/13
